"id","route_id","checked_at","duration_in_traffic","normal_traffic_duration","delay_seconds","traffic_status","distance_meters"
1,7,2026-04-18 11:30:19.657,2066,1747,319,Medium,13254
2,3,2026-04-18 12:30:19.597,4503,4695,0,Light,30958
3,1,2026-04-18 13:15:19.588,2172,1859,313,Medium,12758
4,2,2026-04-18 13:30:19.588,3276,4114,0,Light,26908
5,4,2026-04-19 03:00:19.585,2656,3264,0,Light,25325
6,5,2026-04-19 03:00:19.896,4156,5047,0,Light,46696
7,6,2026-04-19 07:30:19.594,2647,2989,0,Light,24295
8,7,2026-04-19 11:30:19.590,1577,1747,0,Light,13254
9,3,2026-04-19 12:30:19.582,3661,3264,397,Medium,25207
10,1,2026-04-19 13:15:19.581,2289,1904,385,Medium,12828
11,2,2026-04-19 13:30:19.596,3275,4114,0,Light,26908
12,4,2026-04-20 03:00:10.849,3503,3264,239,Light,25325
13,5,2026-04-20 03:00:11.336,3905,5201,0,Light,39512
14,6,2026-04-20 07:30:10.711,3019,2994,25,Light,24199
15,7,2026-04-20 11:30:10.712,2012,1747,265,Light,13254
16,3,2026-04-20 12:30:10.711,4735,3240,1495,Heavy,25138
17,1,2026-04-20 13:15:10.717,2474,1969,505,Medium,13321
18,2,2026-04-20 13:30:10.708,3310,4114,0,Light,26908
19,4,2026-04-21 03:00:10.713,3504,3264,240,Light,25325
20,5,2026-04-21 03:00:11.096,4008,5201,0,Light,39512
21,6,2026-04-21 07:30:10.708,2932,2989,0,Light,24295
22,7,2026-04-21 11:30:10.714,1960,1747,213,Light,13254
23,3,2026-04-21 12:30:10.710,4235,3269,966,Heavy,25221
24,1,2026-04-21 13:15:10.709,2137,1859,278,Light,12758
25,2,2026-04-21 13:30:10.708,3261,4114,0,Light,26908
26,4,2026-04-22 03:00:10.712,3458,3264,194,Light,25325
27,5,2026-04-22 03:00:11.154,3903,5201,0,Light,39512
28,6,2026-04-22 07:30:10.707,2912,2953,0,Light,24062
29,7,2026-04-22 11:30:10.708,2104,1747,357,Medium,13254
30,3,2026-04-22 12:30:10.713,4415,3269,1146,Heavy,25221
31,1,2026-04-22 13:15:10.716,2036,1859,177,Light,12758
32,2,2026-04-22 13:30:10.707,3187,4114,0,Light,26908
33,4,2026-04-23 03:00:10.715,3422,3264,158,Light,25325
34,5,2026-04-23 03:00:11.104,3888,5201,0,Light,39512
35,6,2026-04-23 07:30:10.714,2901,2995,0,Light,24202
36,7,2026-04-23 11:30:10.708,1915,1746,169,Light,13250
37,3,2026-04-23 12:30:10.712,4298,3265,1033,Heavy,25266
38,1,2026-04-23 13:15:10.710,2086,1859,227,Light,12758
39,2,2026-04-23 13:30:10.708,3206,4114,0,Light,26908
40,4,2026-04-24 03:00:10.712,3348,3260,88,Light,25421
41,5,2026-04-24 03:00:11.115,3951,5201,0,Light,39512
42,6,2026-04-24 07:30:10.710,2884,2995,0,Light,24201
43,7,2026-04-24 11:30:10.717,2053,1746,307,Medium,13250
44,3,2026-04-24 12:30:10.708,4535,3400,1135,Heavy,25706
45,1,2026-04-24 13:15:10.722,2282,2021,261,Light,13484
46,2,2026-04-24 13:30:10.719,3356,4114,0,Light,26908
47,4,2026-04-25 03:00:10.716,3127,3264,0,Light,25325
48,5,2026-04-25 03:00:10.984,3989,5201,0,Light,39512
49,6,2026-04-25 07:30:10.708,3003,2954,49,Light,24064
50,7,2026-04-25 11:30:10.770,2156,1842,314,Medium,13249
51,3,2026-04-25 12:30:10.714,4476,3265,1211,Heavy,25266
52,1,2026-04-25 13:15:10.708,2159,1904,255,Light,12828
53,2,2026-04-25 13:30:10.708,3274,4114,0,Light,26908
54,4,2026-04-26 03:00:10.716,2675,3264,0,Light,25325
55,5,2026-04-26 03:00:11.146,4102,5041,0,Light,46695
56,6,2026-04-26 07:30:10.714,2646,2995,0,Light,24201
57,7,2026-04-26 11:30:10.712,1635,1746,0,Light,13250
58,3,2026-04-26 12:30:10.708,3456,3264,192,Light,25207
59,1,2026-04-26 13:15:10.708,2045,1904,141,Light,12828
60,2,2026-04-26 13:30:10.712,3159,4114,0,Light,26908
61,4,2026-04-27 03:00:10.714,3379,3260,119,Light,25421
62,5,2026-04-27 03:00:11.083,4053,5201,0,Light,39512
63,6,2026-04-27 07:30:10.707,2906,2995,0,Light,24201
64,7,2026-04-27 11:30:10.714,2113,1746,367,Medium,13250
65,3,2026-04-27 12:30:10.709,4355,4703,0,Light,31137
66,1,2026-04-27 13:15:10.709,2074,1859,215,Light,12758
67,2,2026-04-27 13:30:10.708,3203,4114,0,Light,26908
68,4,2026-04-28 03:00:10.740,3276,3264,12,Light,25325
69,5,2026-04-28 03:00:11.148,3851,5201,0,Light,39512
70,6,2026-04-28 07:30:10.711,2772,2995,0,Light,24201
71,7,2026-04-28 11:30:10.712,1741,1746,0,Light,13250
72,3,2026-04-28 12:30:10.707,3814,3265,549,Medium,25266
73,1,2026-04-28 13:15:10.708,2061,1859,202,Light,12758
74,2,2026-04-28 13:30:10.711,3264,4114,0,Light,26910
75,4,2026-04-29 03:00:10.711,3525,3260,265,Light,25421
76,5,2026-04-29 03:00:11.062,3957,5201,0,Light,39512
77,6,2026-04-29 07:30:10.711,2949,2995,0,Light,24201
78,7,2026-04-29 11:30:10.712,1895,1746,149,Light,13250
79,3,2026-04-29 12:30:10.711,4850,3240,1610,Heavy,25138
80,1,2026-04-29 13:15:10.713,2201,1899,302,Medium,13116
81,2,2026-04-29 13:30:10.712,3284,4114,0,Light,26910
82,4,2026-04-30 03:00:58.916,3468,3264,204,Light,25325
83,5,2026-04-30 03:00:59.282,3909,5310,0,Light,39514
84,6,2026-04-30 07:30:58.790,2974,2954,20,Light,24064
85,7,2026-04-30 11:30:54.985,2101,1771,330,Medium,13251
86,3,2026-04-30 12:30:54.976,4701,4599,102,Light,20607
87,1,2026-04-30 13:15:54.975,2240,1859,381,Medium,12758
88,2,2026-04-30 13:30:54.976,3691,4223,0,Light,26911
89,4,2026-05-01 03:00:54.987,2776,3264,0,Light,25325
90,5,2026-05-01 03:00:55.644,3889,5201,0,Light,39512
91,6,2026-05-01 07:30:54.979,2749,2995,0,Light,24203
92,7,2026-05-01 11:30:54.976,1748,1746,2,Light,13250
93,3,2026-05-01 12:30:54.973,3707,3264,443,Medium,25208
94,1,2026-05-01 13:15:54.974,2130,1904,226,Light,12829
95,2,2026-05-01 13:30:54.980,3316,4223,0,Light,26911
96,4,2026-05-02 03:00:54.986,3170,3265,0,Light,25326
